day,total_working,employee_count,part_timer_count,dummy_count,job_責任者,job_事務,job_囲炉裏,job_人火葬,job_動物火葬,job_運送,job_清掃,job_売店
1,16,14,1,1,0,0,0,0,0,0,0,0
2,16,14,1,1,0,0,0,0,0,0,0,0
3,16,14,1,1,0,0,0,0,0,0,0,0
4,15,12,2,1,0,0,0,0,0,0,0,0
5,16,10,4,2,0,0,0,0,0,0,0,0
6,16,9,4,3,0,0,0,0,0,0,0,0
7,16,9,5,2,0,0,0,0,0,0,0,0
8,16,14,1,1,0,0,0,0,0,0,0,0
9,16,14,1,1,0,0,0,0,0,0,0,0
10,15,14,0,1,0,0,0,0,0,0,0,0
11,16,10,4,2,0,0,0,0,0,0,0,0
12,16,9,5,2,0,0,0,0,0,0,0,0
13,16,10,4,2,0,0,0,0,0,0,0,0
14,16,11,3,2,0,0,0,0,0,0,0,0
15,15,14,0,1,0,0,0,0,0,0,0,0
16,16,14,1,1,0,0,0,0,0,0,0,0
17,16,10,4,2,0,0,0,0,0,0,0,0
18,16,12,2,2,0,0,0,0,0,0,0,0
19,16,8,6,2,0,0,0,0,0,0,0,0
20,16,13,2,1,0,0,0,0,0,0,0,0
21,15,11,2,2,0,0,0,0,0,0,0,0
22,16,14,1,1,0,0,0,0,0,0,0,0
23,16,14,1,1,0,0,0,0,0,0,0,0
24,16,8,6,2,0,0,0,0,0,0,0,0
25,16,10,4,2,0,0,0,0,0,0,0,0
26,16,10,4,2,0,0,0,0,0,0,0,0
27,15,13,1,1,0,0,0,0,0,0,0,0
28,16,13,1,2,0,0,0,0,0,0,0,0
29,16,14,1,1,0,0,0,0,0,0,0,0
30,16,14,1,1,0,0,0,0,0,0,0,0
